,times,brier_scores,models
0,-1.0,0.009605248946401121,CoxPH (IBS: 0.1213)
1,0.0,0.023188104765102475,CoxPH (IBS: 0.1213)
2,1.0,0.032202388998651986,CoxPH (IBS: 0.1213)
3,2.0,0.036567390160010045,CoxPH (IBS: 0.1213)
4,3.0,0.040516390484787855,CoxPH (IBS: 0.1213)
5,4.0,0.040624879856335595,CoxPH (IBS: 0.1213)
6,5.0,0.040833228800488695,CoxPH (IBS: 0.1213)
7,6.0,0.04460523414118159,CoxPH (IBS: 0.1213)
8,7.0,0.04472090079186004,CoxPH (IBS: 0.1213)
9,9.0,0.04827542720257031,CoxPH (IBS: 0.1213)
10,10.0,0.05233131691227054,CoxPH (IBS: 0.1213)
11,11.0,0.05894640839893681,CoxPH (IBS: 0.1213)
12,12.0,0.06736810803128572,CoxPH (IBS: 0.1213)
13,13.0,0.07583721323204987,CoxPH (IBS: 0.1213)
14,14.0,0.08390339697875773,CoxPH (IBS: 0.1213)
15,15.0,0.08543475065738844,CoxPH (IBS: 0.1213)
16,16.0,0.08957900707347537,CoxPH (IBS: 0.1213)
17,17.0,0.09257561232210224,CoxPH (IBS: 0.1213)
18,18.0,0.09226391216266254,CoxPH (IBS: 0.1213)
19,19.0,0.09489081862140651,CoxPH (IBS: 0.1213)
20,20.0,0.09468196399344417,CoxPH (IBS: 0.1213)
21,21.0,0.09859815540507208,CoxPH (IBS: 0.1213)
22,22.0,0.09832247165186303,CoxPH (IBS: 0.1213)
23,23.0,0.1022272078595802,CoxPH (IBS: 0.1213)
24,24.0,0.10219117202389348,CoxPH (IBS: 0.1213)
25,25.0,0.10286321252451246,CoxPH (IBS: 0.1213)
26,26.0,0.104706439479215,CoxPH (IBS: 0.1213)
27,27.0,0.10719309367516601,CoxPH (IBS: 0.1213)
28,28.0,0.10983300856144274,CoxPH (IBS: 0.1213)
29,30.0,0.11317365796872056,CoxPH (IBS: 0.1213)
30,31.0,0.1126116105307402,CoxPH (IBS: 0.1213)
31,33.0,0.11590001192797313,CoxPH (IBS: 0.1213)
32,34.0,0.11954864675375741,CoxPH (IBS: 0.1213)
33,36.0,0.12610719438615442,CoxPH (IBS: 0.1213)
34,37.0,0.12988017468265028,CoxPH (IBS: 0.1213)
35,38.0,0.133135602727834,CoxPH (IBS: 0.1213)
36,39.0,0.13540729347049807,CoxPH (IBS: 0.1213)
37,41.0,0.13654898095012694,CoxPH (IBS: 0.1213)
38,44.0,0.13609576134474818,CoxPH (IBS: 0.1213)
39,45.0,0.13747246947831684,CoxPH (IBS: 0.1213)
40,46.0,0.13922493503713204,CoxPH (IBS: 0.1213)
41,47.0,0.1403137183486764,CoxPH (IBS: 0.1213)
42,48.0,0.14095722722052914,CoxPH (IBS: 0.1213)
43,49.0,0.1415710485912016,CoxPH (IBS: 0.1213)
44,50.0,0.14134838473670058,CoxPH (IBS: 0.1213)
45,52.0,0.14825181129364606,CoxPH (IBS: 0.1213)
46,53.0,0.1479562219343069,CoxPH (IBS: 0.1213)
47,54.0,0.14724791351549155,CoxPH (IBS: 0.1213)
48,55.0,0.14701724950707984,CoxPH (IBS: 0.1213)
49,56.0,0.14374665829111924,CoxPH (IBS: 0.1213)
50,57.0,0.1441684110209127,CoxPH (IBS: 0.1213)
51,58.0,0.143927266742447,CoxPH (IBS: 0.1213)
52,59.0,0.14333328606838458,CoxPH (IBS: 0.1213)
53,60.0,0.14609510896498346,CoxPH (IBS: 0.1213)
54,61.0,0.14546221539337675,CoxPH (IBS: 0.1213)
55,62.0,0.1443658188321937,CoxPH (IBS: 0.1213)
56,63.0,0.14393415266521448,CoxPH (IBS: 0.1213)
57,64.0,0.14455452484869694,CoxPH (IBS: 0.1213)
58,65.0,0.1438614203182884,CoxPH (IBS: 0.1213)
59,66.0,0.1439429340552028,CoxPH (IBS: 0.1213)
60,67.0,0.14379837344697874,CoxPH (IBS: 0.1213)
61,69.0,0.13854351601746787,CoxPH (IBS: 0.1213)
62,71.0,0.1378431146062231,CoxPH (IBS: 0.1213)
63,72.0,0.13815340258513112,CoxPH (IBS: 0.1213)
64,73.0,0.13879336268789833,CoxPH (IBS: 0.1213)
65,75.0,0.144652622539594,CoxPH (IBS: 0.1213)
66,76.0,0.14952075387772862,CoxPH (IBS: 0.1213)
67,77.0,0.15333509445725305,CoxPH (IBS: 0.1213)
68,80.0,0.1627657831657383,CoxPH (IBS: 0.1213)
69,82.0,0.1636473696342461,CoxPH (IBS: 0.1213)
70,84.0,0.17089181513287147,CoxPH (IBS: 0.1213)
71,85.0,0.16927773204716276,CoxPH (IBS: 0.1213)
72,87.0,0.17376651031011855,CoxPH (IBS: 0.1213)
73,89.0,0.17269907522342554,CoxPH (IBS: 0.1213)
74,91.0,0.17401759462233632,CoxPH (IBS: 0.1213)
75,92.0,0.1759494814760154,CoxPH (IBS: 0.1213)
76,93.0,0.17628403624285605,CoxPH (IBS: 0.1213)
77,94.0,0.1757347744031752,CoxPH (IBS: 0.1213)
78,96.0,0.18152965448505098,CoxPH (IBS: 0.1213)
79,97.0,0.18216189048544365,CoxPH (IBS: 0.1213)
80,100.0,0.1829221505027082,CoxPH (IBS: 0.1213)
81,101.0,0.183700529516399,CoxPH (IBS: 0.1213)
82,102.0,0.18135450375357656,CoxPH (IBS: 0.1213)
83,105.0,0.1794557713812675,CoxPH (IBS: 0.1213)
84,106.0,0.18117621538753606,CoxPH (IBS: 0.1213)
85,107.0,0.1796324289017431,CoxPH (IBS: 0.1213)
86,108.0,0.177951660652258,CoxPH (IBS: 0.1213)
87,112.0,0.1745824690464123,CoxPH (IBS: 0.1213)
88,113.0,0.17559015881107984,CoxPH (IBS: 0.1213)
89,114.0,0.1711460140159515,CoxPH (IBS: 0.1213)
90,115.0,0.17233123881230222,CoxPH (IBS: 0.1213)
91,117.0,0.16762934086975992,CoxPH (IBS: 0.1213)
92,118.0,0.16864808620351926,CoxPH (IBS: 0.1213)
93,119.0,0.1625030398244184,CoxPH (IBS: 0.1213)
94,121.0,0.1677978777878892,CoxPH (IBS: 0.1213)
95,123.0,0.16927745461584673,CoxPH (IBS: 0.1213)
96,125.0,0.1662466218318163,CoxPH (IBS: 0.1213)
97,130.0,0.17336835231257067,CoxPH (IBS: 0.1213)
98,131.0,0.1726707021677039,CoxPH (IBS: 0.1213)
99,132.0,0.17545403684263083,CoxPH (IBS: 0.1213)
100,133.0,0.17493401497179703,CoxPH (IBS: 0.1213)
101,138.0,0.1707142712460656,CoxPH (IBS: 0.1213)
102,143.0,0.1728650899096909,CoxPH (IBS: 0.1213)
103,145.0,0.16535109150591945,CoxPH (IBS: 0.1213)
