,loss_values
0,1681.7198486328125
1,1675.8094482421875
2,1680.1746826171875
3,1683.6937255859375
4,1684.1553955078125
5,1675.5377197265625
6,1670.4244384765625
7,1658.903076171875
8,1676.0855712890625
9,1641.47216796875
10,1666.19921875
11,1656.3487548828125
12,1652.5509033203125
13,1676.512451171875
14,1670.8231201171875
15,1665.80810546875
16,1676.9613037109375
17,1651.3048095703125
18,1665.0179443359375
19,1638.0340576171875
20,1670.4627685546875
21,1648.5789794921875
22,1630.291748046875
23,1662.0782470703125
24,1651.6278076171875
25,1657.9776611328125
26,1642.5631103515625
27,1633.1971435546875
28,1647.01904296875
29,1645.476318359375
30,1627.36376953125
31,1625.8668212890625
32,1661.5560302734375
33,1641.087890625
34,1658.4495849609375
35,1647.72021484375
36,1650.0489501953125
37,1629.7078857421875
38,1632.0648193359375
39,1632.7545166015625
40,1632.3380126953125
41,1636.634033203125
42,1606.156494140625
43,1664.806884765625
44,1627.5899658203125
45,1642.424560546875
46,1614.79638671875
47,1623.462646484375
48,1631.6015625
49,1633.0113525390625
50,1622.8521728515625
51,1640.444580078125
52,1646.0550537109375
53,1640.2298583984375
54,1618.5670166015625
55,1634.7552490234375
56,1611.0689697265625
57,1612.44287109375
58,1616.631103515625
59,1617.548095703125
60,1606.8917236328125
61,1627.9127197265625
62,1622.6412353515625
63,1612.967041015625
64,1620.0872802734375
65,1659.3690185546875
66,1621.9759521484375
67,1611.8140869140625
68,1650.8507080078125
69,1623.8433837890625
70,1611.476806640625
71,1616.089599609375
72,1615.10986328125
73,1614.72314453125
74,1616.8299560546875
75,1617.1795654296875
76,1615.0782470703125
77,1600.9652099609375
78,1626.2314453125
79,1613.0615234375
80,1618.337646484375
81,1614.10888671875
82,1606.1923828125
83,1614.335205078125
84,1604.5350341796875
85,1626.1195068359375
86,1610.366455078125
87,1614.1895751953125
88,1607.687255859375
89,1609.183837890625
90,1608.4339599609375
91,1600.50439453125
92,1602.90576171875
93,1623.9068603515625
94,1604.7496337890625
95,1599.4853515625
96,1603.5692138671875
97,1640.05712890625
98,1607.50439453125
99,1610.139892578125
100,1600.3817138671875
101,1608.0986328125
102,1618.821533203125
103,1610.96826171875
104,1596.272705078125
105,1646.702880859375
106,1606.0440673828125
107,1618.6351318359375
108,1611.010986328125
109,1594.6275634765625
110,1606.2518310546875
111,1605.11083984375
112,1594.455322265625
113,1604.496826171875
114,1612.9761962890625
115,1596.2608642578125
116,1624.7977294921875
117,1600.3345947265625
118,1599.99853515625
119,1592.4566650390625
120,1615.8424072265625
121,1581.865966796875
122,1594.9661865234375
123,1598.361328125
124,1594.0809326171875
125,1601.935546875
126,1600.133056640625
